Position,Name,Team,Opponent,Game Time,Avg Fantasy Points,Price,Starter,Injury Status
SF,Jordan Hamilton,HOU,HOU @ LAC,10:30 PM,14.2,5500,"",
SF,Jared Dudley,LAC,LAC vs HOU,10:30 PM,13.0,5500,"",
SG,Will Barton,POR,POR vs BKN,10:00 PM,4.6,5500,"",
SG,Doron Lamb,ORL,ORL @ PHI, 7:00 PM,4.5,5500,"",
PG,Eric Maynor,PHI,PHI vs ORL, 7:00 PM,6.0,5500,"",
PG,Lorenzo Brown,PHI,PHI vs ORL, 7:00 PM,7.2,5500,"",OUT
C,Henry Sims,PHI,PHI vs ORL, 7:00 PM,7.2,5500,"",
PG,Phil Pressey,BOS,BOS vs ATL, 7:30 PM,8.2,5500,"",
SG,Marcus Thornton,BKN,BKN @ POR,10:00 PM,14.1,5500,"",OUT
PF,Andrew Nicholson,ORL,ORL @ PHI, 7:00 PM,11.6,5500,"",
PG,Diante Garrett,UTA,UTA vs PHO, 9:00 PM,8.3,5500,"",
SG-SF,Francisco Garcia,HOU,HOU @ LAC,10:30 PM,12.2,5400,"",
SF,Omri Casspi,HOU,HOU @ LAC,10:30 PM,14.7,5400,"",
PF,Jon Leuer,MEM,MEM vs LAL, 8:00 PM,13.6,5300,"",
PF-C,Gustavo Ayon,ATL,ATL @ BOS, 7:30 PM,13.5,5300,"",OUT
C,Kendrick Perkins,OKC,OKC vs CLE, 8:00 PM,11.7,5000,"",OUT
SG,Jamaal Franklin,MEM,MEM vs LAL, 8:00 PM,3.5,5000,"",
SG,Dionte Christmas,PHO,PHO @ UTA, 9:00 PM,4.1,5000,"",
SG,Troy Daniels,HOU,HOU @ LAC,10:30 PM,0,5000,"",
C,Alex Len,PHO,PHO @ UTA, 9:00 PM,5.9,5000,"",
SF,Hedo Turkoglu,LAC,LAC vs HOU,10:30 PM,8.8,5000,"",
C,Nazr Mohammed,CHI,CHI vs GSW, 8:00 PM,5.4,5000,"",
PF-C,Hilton Armstrong,GSW,GSW @ CHI, 8:00 PM,4.5,5000,"",
SF,Tornike Shengelia,CHI,CHI vs GSW, 8:00 PM,2.8,5000,"",
PG,Nemanja Nedovic,GSW,GSW @ CHI, 8:00 PM,2.4,5000,"",OUT
C,Ognjen Kuzmic,GSW,GSW @ CHI, 8:00 PM,1.7,5000,"",
PF,Erik Murphy,CHI,CHI vs GSW, 8:00 PM,0.9,5000,"",
C,Festus Ezeli,GSW,GSW @ CHI, 8:00 PM,0,5000,"",OUT
PF-C,Jarvis Varnado,CHI,CHI vs GSW, 8:00 PM,0.0,5000,"",
