Position,Name,Team,Opponent,Game Time,Avg Fantasy Points,Price,Starter,Injury Status
PG,Dennis Schroder,ATL,ATL vs NOP, 7:30 PM,7.9,5000,"",OUT
PF-C,Mike Muscala,ATL,ATL vs NOP, 7:30 PM,6.4,5000,"",
SG,John Jenkins,ATL,ATL vs NOP, 7:30 PM,5.9,5000,"",OUT
SF,Darius Miller,NOP,NOP @ ATL, 7:30 PM,5.5,5000,"",
PF,Brandon Davies,PHI,PHI vs NYK, 7:00 PM,6.2,5000,"",
C,Byron Mullens,PHI,PHI vs NYK, 7:00 PM,6.9,5000,"",
PF,Arnett Moultrie,PHI,PHI vs NYK, 7:00 PM,8.3,5000,"",
PF,Erik Murphy,CHI,CHI @ IND, 7:00 PM,1.1,5000,"",
SF,Tornike Shengelia,CHI,CHI @ IND, 7:00 PM,2.6,5000,"",OUT
PG,Donald Sloan,IND,IND vs CHI, 7:00 PM,3.6,5000,"",
SG-SF,Rasual Butler,IND,IND vs CHI, 7:00 PM,4.3,5000,"",
SG,Leandro Barbosa,PHO,PHO vs DET,10:00 PM,12.4,5000,"",OUT
SF,Chris Copeland,IND,IND vs CHI, 7:00 PM,4.3,5000,"",
PG-SG,Chauncey Billups,DET,DET @ PHO,10:00 PM,8.6,5000,"",OUT
PF-C,Josh Harrellson,DET,DET @ PHO,10:00 PM,7.6,5000,"",OUT
SG,Archie Goodwin,PHO,PHO vs DET,10:00 PM,6.6,5000,"",
C,Alex Len,PHO,PHO vs DET,10:00 PM,6.3,5000,"",
SG,Dionte Christmas,PHO,PHO vs DET,10:00 PM,4.5,5000,"",
SF,Luigi Datome,DET,DET @ PHO,10:00 PM,4.3,5000,"",
PF,Shavlik Randolph,PHO,PHO vs DET,10:00 PM,4.0,5000,"",
PF,Tony Mitchell,DET,DET @ PHO,10:00 PM,2.5,5000,"",
PG,Peyton Siva,DET,DET @ PHO,10:00 PM,1.7,5000,"",OUT
C,Emeka Okafor,PHO,PHO vs DET,10:00 PM,0,5000,"",OUT
SF,Solomon Hill,IND,IND vs CHI, 7:00 PM,4.4,5000,"",
C,Nazr Mohammed,CHI,CHI @ IND, 7:00 PM,5.6,5000,"",
PG-SG,Jimmer Fredette,CHI,CHI @ IND, 7:00 PM,8.8,5000,"",
SG,Tony Snell,CHI,CHI @ IND, 7:00 PM,9.5,5000,"",
C,Ian Mahinmi,IND,IND vs CHI, 7:00 PM,10.3,5000,"",
PG-SG,CJ Watson,IND,IND vs CHI, 7:00 PM,12.1,5000,"",OUT
C,Hasheem Thabeet,OKC,OKC @ TOR, 7:00 PM,4.5,5000,"",
C,Jason Collins,BKN,BKN vs BOS, 7:30 PM,2.3,5000,"",
C,Joel Anthony,BOS,BOS @ BKN, 7:30 PM,2.5,5000,"",
SG-SF,Keith Bogans,BOS,BOS @ BKN, 7:30 PM,3.5,5000,"",OUT
PF,Jon Leuer,MEM,MEM @ MIA, 7:30 PM,12.8,5000,"",
SG-SF,Chris Babb,BOS,BOS @ BKN, 7:30 PM,3.8,5000,"",
PG,Beno Udrih,MEM,MEM @ MIA, 7:30 PM,12.4,5000,"",
